name,iso_country,municipality,icao_code,iata_code
Qiemo Yudu Airport,CN,Qiemo,ZWCM,IQM
Fuyun Koktokay Airport,CN,Fuyun,ZWFY,FYN
Hami Airport,CN,Hami,ZWHM,HMI
Shihezi Huayuan Airport,CN,Shihezi,ZWHZ,SHF
Kuqa Qiuci Airport,CN,Kuqa,ZWKC,KCA
Korla Licheng Airport,CN,Korla,ZWKL,KRL
Karamay Airport,CN,Karamay,ZWKM,KRY
Burqin Kanas Airport,CN,Burqin,ZWKN,KJI
Xinyuan Nalati Airport,CN,Xinyuan,ZWNL,NLT
Ruoqiang Loulan Airport,CN,Ruoqiang Town,ZWRQ,RQA
Shache Airport,CN,Shache,ZWSC,QSZ
Kashgar Laining International Airport,CN,Kashgar,ZWSH,KHG
Tacheng Qianquan Airport,CN,Tacheng,ZWTC,TCG
Turpan Jiaohe Airport,CN,Turpan,ZWTL,TLQ
Hotan Airport,CN,Hotan,ZWTN,HTN
Ürümqi Tianshan International Airport,CN,Ürümqi,ZWWW,URC
Yining Airport,CN,Ili (Yining / Ghulja),ZWYN,YIN
Yutian Wanfang Airport,CN,Hotan (Yutian),ZWYT,YTW
Anshan Teng'ao Airport / Anshan Air Base,CN,Anshan,ZYAS,AOG
Baicheng Chang'an Airport,CN,Baicheng,ZYBA,DBC
Changbaishan Airport,CN,Baishan,ZYBS,NBS
Changchun Longjia International Airport,CN,Changchun,ZYCC,CGQ
Changhai Airport,CN,Dalian (Changhai),ZYCH,CNI
Chaoyang Airport,CN,"Shuangta, Chaoyang",ZYCY,CHG
Dandong Langtou Airport,CN,Dandong (Zhenxing),ZYDD,DDG
Daqing Sartu Airport,CN,Daqing,ZYDQ,DQA
Wudalianchi Dedu Airport,CN,Heihe,ZYDU,DTU
Fuyuan Dongji Airport,CN,Fuyuan,ZYFY,FYJ
Harbin Taiping International Airport,CN,Harbin,ZYHB,HRB
Heihe Aihui Airport,CN,Heihe,ZYHE,HEK
Daxing'anling Elunchun Airport,CN,Jiagedaqi,ZYJD,JGD
Jiamusi Dongjiao Airport,CN,Jiamusi,ZYJM,JMU
Jiansanjiang Shidi Airport,CN,Jiansanjiang,ZYJS,JSJ
Jixi Xingkaihu Airport,CN,Jixi,ZYJX,JXA
Jinzhou Bay Airport,CN,Jinzhou (Linghai),ZYJZ,JNZ
Yichun Lindu Airport,CN,Yichun,ZYLD,LDS
Mudanjiang Hailang International Airport,CN,Mudanjiang,ZYMD,MDG
Mohe Gulian Airport,CN,Mohe,ZYMH,OHE
Qiqihar Sanjiazi Airport,CN,Qiqihar,ZYQQ,NDG
Songyuan Chaganhu Airport,CN,Qian Gorlos Mongol Autonomous County,ZYSQ,YSQ
Dalian Zhoushuizi International Airport,CN,Dalian (Ganjingzi),ZYTL,DLC
Tonghua Sanyuanpu Airport,CN,Tonghua,ZYTN,TNH
Shenyang Taoxian International Airport,CN,"Hunnan, Shenyang",ZYTX,SHE
Yanji Chaoyangchuan Airport,CN,Yanji,ZYYJ,YNJ
Yingkou Lanqi Airport,CN,Yingkou (Laobian),ZYYK,YKH
El Eden Airport,CO,Armenia,SKAR,AXM
Tres De Mayo Airport,CO,Puerto Asís,SKAS,PUU
Palonegro Airport,CO,Bucaramanga,SKBG,BGA
El Dorado International Airport,CO,Bogota,SKBO,BOG
Ernesto Cortissoz International Airport,CO,Barranquilla,SKBQ,BAQ
José Celestino Mutis Airport,CO,Bahía Solano,SKBS,BSC
Gerardo Tobar López Airport,CO,Buenaventura,SKBU,BUN
Camilo Daza International Airport,CO,Cúcuta,SKCC,CUC
Rafael Nuñez International Airport,CO,Cartagena,SKCG,CTG
Alfonso Bonilla Aragon International Airport,CO,Cali,SKCL,CLO
La Florida Airport,CO,Tumaco,SKCO,TCO
Las Brujas Airport,CO,Corozal,SKCZ,CZU
Yariguíes Airport,CO,Barrancabermeja,SKEJ,EJA
Gustavo Artunduaga Paredes Airport,CO,Florencia,SKFL,FLA
Juan Casiano Airport,CO,Guapi,SKGP,GPI
Perales Airport,CO,Ibagué,SKIB,IBE
San Luis Airport,CO,Ipiales,SKIP,IPI
Antonio Roldán Betancur Airport,CO,Carepa,SKLC,APO
Caucaya Airport,CO,Puerto Leguízamo,SKLG,LQM
La Pedrera Airport,CO,La Pedrera,SKLP,LPD
Alfredo Vásquez Cobo International Airport,CO,Leticia,SKLT,LET
Enrique Olaya Herrera Airport,CO,Medellín,SKMD,EOH
Los Garzones Airport,CO,Montería,SKMR,MTR
Fabio Alberto Leon Bentley Airport,CO,Mitú,SKMU,MVP
La Nubia Airport,CO,Manizales,SKMZ,MZL
La Macarena Airport,CO,La Macarena,SKNA,LMC
Reyes Murillo Airport,CO,Nuquí,SKNQ,NQU
Benito Salas Airport,CO,Neiva,SKNV,NVA
German Olano Airport,CO,Puerto Carreño,SKPC,PCR
Obando Cesar Gaviria Trujillo Airport,CO,Puerto Inírida,SKPD,PDA
Matecaña International Airport,CO,Pereira,SKPE,PEI
Guillermo León Valencia Airport,CO,Popayán,SKPP,PPN
Antonio Nariño Airport,CO,Chachagüí,SKPS,PSO
El Embrujo Airport,CO,Providencia,SKPV,PVA
Tarapacá Airport,CO,Tarapacá,SKRA,TCD
Jose Maria Córdova International Airport,CO,Medellín,SKRG,MDE
Almirante Padilla Airport,CO,Riohacha,SKRH,RCH
Los Colonizadores Airport,CO,Saravena,SKSA,RVE
Jorge E. Gonzalez Torres Airport,CO,San José Del Guaviare,SKSJ,SJE
Simón Bolívar International Airport,CO,Santa Marta,SKSM,SMR
Gustavo Rojas Pinilla International Airport,CO,San Andrés,SKSP,ADZ
Eduardo Falla Solano Airport,CO,San Vicente Del Caguán,SKSV,SVI
Golfo de Morrosquillo Airport,CO,Santiago de Tolú,SKTL,TLU
Gustavo Vargas Airport,CO,Tame,SKTM,TME
Santiago Perez Airport,CO,Arauca,SKUC,AUC
El Caraño Airport,CO,Quibdó,SKUI,UIB
Alfonso López Pumarejo Airport,CO,Valledupar,SKVP,VUP
Vanguardia Airport,CO,Villavicencio,SKVV,VVC
El Alcaravan - Yopal Airport,CO,Yopal,SKYP,EYP
Golfito Airport,CR,Golfito,MRGF,GLF
Guanacaste Airport,CR,Liberia,MRLB,LIR
Limon International Airport,CR,Puerto Limon,MRLM,LIO
Nosara Airport,CR,Nicoya,MRNS,NOB
Juan Santamaría International Airport,CR,San José (Alajuela),MROC,SJO
Puerto Jimenez Airport,CR,Puerto Jimenez,MRPJ,PJM
Tobías Bolaños International Airport,CR,San Jose,MRPV,SYQ
Quepos Managua Airport,CR,Quepos,MRQP,XQP
Gustavo Rizo Airport,CU,Baracoa,MUBA,BCA
Carlos Manuel de Cespedes Airport,CU,Bayamo,MUBY,BYM
Jardines Del Rey Airport,CU,Cayo Coco,MUCC,CCC
Jaime Gonzalez Airport,CU,Cienfuegos,MUCF,CFG
Vilo Acuña International Airport,CU,Cayo Largo del Sur,MUCL,CYO
Ignacio Agramonte International Airport,CU,Camaguey,MUCM,CMW
Antonio Maceo International Airport,CU,Santiago,MUCU,SCU
José Martí International Airport,CU,Havana,MUHA,HAV
Frank Pais International Airport,CU,Holguin,MUHG,HOG
Sierra Maestra International Airport,CU,Manzanillo,MUMZ,MZO
Rafael Cabrera Airport,CU,Nueva Gerona,MUNG,GER
Abel Santamaria Airport,CU,Santa Clara,MUSC,SNU
Alberto Delgado Airport,CU,Trinidad,MUTD,TND
Juan Gualberto Gomez International Airport,CU,Matanzas,MUVR,VRA
Hermanos Ameijeiras Airport,CU,Las Tunas,MUVT,VTU
Amílcar Cabral International Airport,CV,Espargos,GVAC,SID
Rabil Airport,CV,Rabil,GVBA,BVC
Maio Airport,CV,Vila do Maio,GVMA,MMO
Nelson Mandela International Airport,CV,Praia,GVNP,RAI
São Filipe Airport,CV,São Filipe,GVSF,SFL
Preguiça Airport,CV,Preguiça,GVSN,SNE
São Pedro Airport,CV,São Pedro,GVSV,VXE
Hato International Airport,CW,Willemstad,TNCC,CUR
Christmas Island Airport,CX,Flying Fish Cove,YPXM,XCH
Nicosia (Lefkoşa) Ercan International Airport,CY,Tymbou (Kirklar),LCEN,ECN
Lefkoniko Airport / Geçitkale Air Base,CY,Lefkoniko (Geçitkale),LCGK,GEC
Larnaca International Airport,CY,Larnaca,LCLK,LCA
Paphos International Airport,CY,Paphos,LCPH,PFO
Karlovy Vary Airport,CZ,Karlovy Vary,LKKV,KLV
Ostrava Leos Janáček Airport,CZ,Mošnov,LKMT,OSR
Pardubice Airport,CZ,Pardubice,LKPD,PED
Václav Havel Airport Prague,CZ,Prague,LKPR,PRG
Brno-Tuřany Airport,CZ,Brno,LKTB,BRQ
Heringsdorf Airport,DE,Zirchow,EDAH,HDF
Berlin Brandenburg Airport,DE,Berlin,EDDB,BER
Dresden Airport,DE,Dresden,EDDC,DRS
Erfurt-Weimar Airport,DE,Erfurt,EDDE,ERF
Frankfurt Airport,DE,Frankfurt am Main,EDDF,FRA
Münster Osnabrück Airport,DE,Greven,EDDG,FMO
Hamburg Helmut Schmidt Airport,DE,Hamburg,EDDH,HAM
Cologne Bonn Airport,DE,Köln (Cologne),EDDK,CGN
Düsseldorf Airport,DE,Düsseldorf,EDDL,DUS
Munich Airport,DE,Munich,EDDM,MUC
Nuremberg Airport,DE,Nuremberg,EDDN,NUE
Leipzig/Halle Airport,DE,Schkeuditz,EDDP,LEJ
Saarbrücken Airport,DE,Saarbrücken,EDDR,SCN
Stuttgart Airport,DE,Stuttgart,EDDS,STR
Hannover Airport,DE,Hannover,EDDV,HAJ
Bremen Airport,DE,Bremen,EDDW,BRE
Frankfurt-Hahn Airport,DE,Frankfurt am Main (Lautzenhausen),EDFH,HHN
Mannheim-City Airport,DE,Mannheim,EDFM,MHG
Lübeck Blankensee Airport,DE,Lübeck,EDHL,LBC
Memmingen Allgau Airport,DE,Memmingen,EDJA,FMM
Paderborn Lippstadt Airport,DE,Büren,EDLP,PAD
Weeze Airport,DE,Weeze,EDLV,NRN
Dortmund Airport,DE,Dortmund,EDLW,DTM
Friedrichshafen Airport,DE,Friedrichshafen,EDNY,FDH
Karlsruhe Baden-Baden Airport,DE,Rheinmünster,EDSB,FKB
Kassel Airport,DE,Calden,EDVK,KSF
Emden Airport,DE,Emden,EDWE,EME
Wangerooge Airport,DE,Wangerooge,EDWG,AGE
Juist Airport,DE,Juist,EDWJ,JUI
Borkum Airport,DE,Borkum,EDWR,BMK
Norden-Norddeich Airport,DE,Norddeich,EDWS,NOD
Norderney Airport,DE,Norderney,EDWY,NRD
Baltrum Airport,DE,Baltrum,EDWZ,BMR
Heide-Büsum Airport,DE,Oesterdeichstrich,EDXB,HEI
Helgoland-Düne Airport,DE,Helgoland,EDXH,HGL
Westerland Sylt Airport,DE,Sylt,EDXW,GWT
Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,DE,Wurster Nordseeküste,ETMN,FCN
Rostock-Laage Airport,DE,Laage,ETNL,RLG
Djibouti-Ambouli Airport,DJ,Djibouti City,HDAM,JIB
Aarhus Airport,DK,Aarhus,EKAH,AAR
Billund Airport,DK,Billund,EKBI,BLL
Copenhagen Kastrup Airport,DK,Copenhagen,EKCH,CPH
Esbjerg Airport,DK,Esbjerg,EKEB,EBJ
Midtjyllands Airport / Air Base Karup,DK,Karup,EKKA,KRP
Læsø Airport,DK,Læsø,EKLS,BYR
Odense Hans Christian Andersen Airport,DK,Odense,EKOD,ODE
Copenhagen Roskilde Airport,DK,Roskilde,EKRK,RKE
Bornholm Airport,DK,Rønne,EKRN,RNN
Sønderborg Airport,DK,Sønderborg,EKSB,SGD
Aalborg Airport,DK,Aalborg,EKYT,AAL
Canefield Airport,DM,Canefield,TDCF,DCF
Douglas-Charles Airport,DM,Marigot,TDPD,DOM
Maria Montez International Airport,DO,Barahona,MDBH,BRX
Samaná El Catey International Airport,DO,Samana,MDCY,AZS
La Isabela International Airport,DO,La Isabela,MDJB,JBQ
Casa De Campo International Airport,DO,La Romana,MDLR,LRM
Punta Cana International Airport,DO,Punta Cana,MDPC,PUJ
Gregorio Luperon International Airport,DO,Puerto Plata,MDPP,POP
Las Américas International Airport,DO,Santo Domingo,MDSD,SDQ
Cibao International Airport,DO,Santiago,MDST,STI
Soummam–Abane Ramdane Airport,DZ,Béjaïa,DAAE,BJA
Houari Boumediene Airport,DZ,Algiers,DAAG,ALG
Djanet Inedbirene Airport,DZ,Djanet,DAAJ,DJG
Illizi Takhamalt Airport,DZ,Illizi,DAAP,VVZ
Ain Arnat Airport,DZ,Sétif,DAAS,QSF
Aguenar – Hadj Bey Akhamok Airport,DZ,Tamanrasset,DAAT,TMR
Jijel Ferhat Abbas Airport,DZ,Tahir,DAAV,GJL
Annaba Rabah Bitat Airport,DZ,Annaba,DABB,AAE
Mohamed Boudiaf International Airport,DZ,Constantine,DABC,CZL
Cheikh Larbi Tébessi Airport,DZ,Tébessi,DABS,TEE
Batna Mostefa Ben Boulaid Airport,DZ,Batna,DABT,BLJ
Tindouf Airport,DZ,Tindouf,DAOF,TIN
Chlef Aboubakr Belkaid International Airport,DZ,Chlef,DAOI,CFK
Zenata – Messali El Hadj Airport,DZ,Zenata,DAON,TLM
Oran Es-Sénia (Ahmed Ben Bella) International Airport,DZ,Es-Sénia,DAOO,ORN
Béchar Boudghene Ben Ali Lotfi Airport,DZ,Béchar,DAOR,CBH
Bordj Badji Mokhtar Airport,DZ,Bordj Badji Mokhtar,DATM,BMW
Touat Cheikh Sidi Mohamed Belkebir Airport,DZ,Adrar,DAUA,AZR
Biskra - Mohamed Khider Airport,DZ,Biskra,DAUB,BSK
El Golea Airport,DZ,El Menia,DAUE,ELG
Noumérat - Moufdi Zakaria Airport,DZ,El Atteuf,DAUG,GHA
Hassi Messaoud-Oued Irara Krim Belkacem Airport,DZ,Hassi Messaoud,DAUH,HME
In Salah Airport,DZ,In Salah,DAUI,INZ
Touggourt Sidi Madhi Airport,DZ,Touggourt,DAUK,TGR
Guemar Airport - مطار قمار بالوادي,DZ,Guemar,DAUO,ELU
Timimoun Airport,DZ,Timimoun,DAUT,TMX
Ain Beida Airport,DZ,Ouargla,DAUU,OGX
Zarzaitine - In Aménas Airport,DZ,In Aménas,DAUZ,IAM
Francisco De Orellana Airport,EC,Coca,SECO,OCC
Mariscal Lamar Airport,EC,Cuenca,SECU,CUE
Seymour Galapagos Ecological Airport,EC,Isla Baltra,SEGS,GPS
José Joaquín de Olmedo International Airport,EC,Guayaquil,SEGU,GYE
General Villamil Airport,EC,Puerto Villamil,SEII,IBB
Coronel E Carvajal Airport,EC,Macas,SEMC,XMS
Eloy Alfaro International Airport,EC,Manta,SEMT,MEC
Mariscal Sucre International Airport,EC,Quito,SEQM,UIO
Santa Rosa - Artillery Colonel Victor Larrea International Airport,EC,Santa Rosa,SERO,ETR
San Cristóbal Airport,EC,Puerto Baquerizo Moreno,SEST,SCY
Carlos Concha Torres International Airport,EC,Tachina,SETN,ESM
Lieutenant Colonel Luis A. Mantilla International Airport,EC,Tulcán,SETU,TUA
Kärdla Airport,EE,Kärdla,EEKA,KDL
Kuressaare Airport,EE,Kuressaare,EEKE,URE
Pärnu Airport,EE,Pärnu,EEPU,EPU
Lennart Meri Tallinn Airport,EE,Tallinn,EETN,TLL
Tartu Airport,EE,Reola,EETU,TAY
El Alamein International Airport,EG,El Alamein,HEAL,DBB
El Arish International Airport,EG,El Arish,HEAR,AAC
Asyut International Airport,EG,Asyut,HEAT,ATZ
Borj El Arab International Airport,EG,Alexandria,HEBA,HBE
Abu Simbel Airport,EG,Abu Simbel,HEBL,ABS
Cairo International Airport,EG,Cairo,HECA,CAI
Hurghada International Airport,EG,Hurghada,HEGN,HRG
Luxor International Airport,EG,Luxor,HELX,LXR
Marsa Alam International Airport,EG,Marsa Alam,HEMA,RMF
Marsa Matruh International Airport,EG,Marsa Matruh,HEMM,MUH
Sohag International Airport,EG,Suhaj,HESG,HMB
Sharm El Sheikh International Airport,EG,Sharm El Sheikh,HESH,SSH
Aswan International Airport,EG,Aswan,HESN,ASW
Sphinx International Airport,EG,Al Jiza,HESX,SPX
Taba International Airport,EG,Taba,HETB,TCP
Dakhla Airport,EH,Dakhla,GMMH,VIL
Hassan I Airport,EH,El Aaiún,GMML,EUN
Asmara International Airport,ER,Asmara,HHAS,ASM
Assab International Airport,ER,Assab,HHSB,ASA
Fuerteventura Airport,ES,El Matorral,GCFV,FUE
La Gomera Airport,ES,"Alajero, La Gomera Island",GCGM,GMZ
El Hierro Airport,ES,El Hierro Island,GCHI,VDE
La Palma Airport,ES,"Sta Cruz de la Palma, La Palma Island",GCLA,SPC
Gran Canaria Airport,ES,Gran Canaria Island,GCLP,LPA
César Manrique-Lanzarote Airport,ES,San Bartolomé,GCRR,ACE
Tenerife Sur Airport,ES,Tenerife,GCTS,TFS
Tenerife Norte-Ciudad de La Laguna Airport,ES,Tenerife,GCXO,TFN
Melilla Airport,ES,Melilla,GEML,MLN
Alicante-Elche Miguel Hernández Airport,ES,Alicante,LEAL,ALC
Almería Airport,ES,Almería,LEAM,LEI
Asturias Airport,ES,Ranón,LEAS,OVD
Bilbao Airport,ES,Bilbao,LEBB,BIO
Josep Tarradellas Barcelona-El Prat Airport,ES,Barcelona,LEBL,BCN
Badajoz Airport,ES,Badajoz,LEBZ,BJZ
Castellón-Costa Azahar Airport,ES,Castellón de la Plana,LECH,CDT
A Coruña Airport,ES,Culleredo,LECO,LCG
Lleida-Alguaire Airport,ES,Lleida,LEDA,ILD
Girona-Costa Brava Airport,ES,Girona,LEGE,GRO
F.G.L. Airport Granada-Jaén Airport,ES,Granada,LEGR,GRX
Ibiza Airport,ES,Ibiza (Eivissa),LEIB,IBZ
Jerez Airport,ES,Jerez de la Frontera,LEJR,XRY
León Int'l Airport,ES,La Virgen Del Camino,LELN,LEN
Adolfo Suárez Madrid–Barajas Airport,ES,Madrid,LEMD,MAD
Málaga-Costa del Sol Airport,ES,Málaga,LEMG,AGP
Menorca Airport,ES,Mahón (Maó),LEMH,MAH
Región de Murcia International Airport,ES,Corvera,LEMI,RMU
Palma de Mallorca Airport,ES,Palma de Mallorca,LEPA,PMI
Pamplona Airport,ES,Pamplona,LEPP,PNA
Reus Airport,ES,Reus,LERS,REU
Salamanca Airport,ES,Salamanca,LESA,SLM
San Sebastián Airport,ES,Hondarribia,LESO,EAS
Santiago-Rosalía de Castro Airport,ES,Santiago de Compostela,LEST,SCQ
Pirineus - la Seu d'Urgel Airport,ES,La Seu d'Urgell Pyrenees and Andorra,LESU,LEU
Valencia Airport,ES,Valencia,LEVC,VLC
Valladolid Airport,ES,Valladolid,LEVD,VLL
Vitoria Airport,ES,Alava,LEVT,VIT
Vigo Airport,ES,Vigo,LEVX,VGO
Seve Ballesteros-Santander Airport,ES,Santander,LEXJ,SDR
Zaragoza Airport,ES,Zaragoza,LEZG,ZAZ
Sevilla Airport,ES,Sevilla,LEZL,SVQ
Addis Ababa Bole International Airport,ET,Addis Ababa,HAAB,ADD
Arba Minch Airport,ET,Arba Minch,HAAM,AMH
Axum Airport,ET,Axum,HAAX,AXU
Bahir Dar Airport,ET,Bahir Dar,HABD,BJR
Kombolcha Airport,ET,Dessie,HADC,DSE
Dembidollo Airport,ET,Dembidollo,HADD,DEM
Aba Tenna Dejazmach Yilma International Airport,ET,Dire Dawa,HADR,DIR
Gambela Airport,ET,Gambela,HAGM,GMB
Gondar Airport,ET,Azezo,HAGN,GDQ
Gode Airport,ET,Gode,HAGO,GDE
Wilwal International Airport,ET,Jijiga,HAJJ,JIJ
Jimma Airport,ET,Jimma,HAJM,JIM
Kebri Dahar Airport,ET,Kebri Dahar,HAKD,ABK
Hawassa International Airport,ET,Hawassa,HALA,AWA
Alula Aba Nega Airport,ET,Mekele,HAMK,MQX
Mizan Teferi Airport,ET,Mizan Teferi,HAMT,MTF
Shilavo Airport,ET,Shilavo,HASL,HIL
Semera Airport,ET,Semera,HASM,SZE
Asosa Airport,ET,Asosa,HASO,ASO
Tippi Airport,ET,Tippi,HATP,TIE
Enontekio Airport,FI,Enontekio,EFET,ENF
Helsinki Vantaa Airport,FI,Helsinki (Vantaa),EFHK,HEL
Ivalo Airport,FI,Ivalo,EFIV,IVL
Joensuu Airport,FI,Joensuu,EFJO,JOE
Jyväskylä Airport,FI,Jyväskylän Maalaiskunta,EFJY,JYV
Kemi-Tornio Airport,FI,Kemi / Tornio,EFKE,KEM
Kajaani Airport,FI,Kajaani,EFKI,KAJ
Kokkola-Pietarsaari Airport,FI,Kokkola / Kruunupyy,EFKK,KOK
Kuusamo Airport,FI,Kuusamo,EFKS,KAO
Kittilä Airport,FI,Kittilä,EFKT,KTT
Kuopio Airport,FI,Kuopio / Siilinjärvi,EFKU,KUO
Lappeenranta Airport,FI,Lappeenranta,EFLP,LPP
Mariehamn Airport,FI,Mariehamn,EFMA,MHQ
Oulu Airport,FI,Oulu / Oulunsalo,EFOU,OUL
Pori Airport,FI,Pori,EFPO,POR
Rovaniemi Airport,FI,Rovaniemi,EFRO,RVN
Savonlinna Airport,FI,Savonlinna,EFSA,SVL
Tampere-Pirkkala Airport,FI,Tampere / Pirkkala,EFTP,TMP
Turku Airport,FI,Turku,EFTU,TKU
Vaasa Airport,FI,Vaasa,EFVA,VAA
Cicia Airport,FJ,Cicia,NFCI,ICI
Nadi International Airport,FJ,Nadi,NFFN,NAN
Malolo Lailai Island Airport,FJ,Malolo Lailai Island,NFFO,PTF
Vunisea Airport,FJ,Vunisea,NFKD,KDV
Mana Island Airport,FJ,Mana Island,NFMA,MNF
Moala Airport,FJ,Moala,NFMO,MFJ
Nausori International Airport,FJ,Nausori,NFNA,SUV
Levuka Airfield,FJ,Bureta,NFNB,LEV
Ngau Airport,FJ,Ngau,NFNG,NGI
Lakeba Island Airport,FJ,Lakeba Island,NFNK,LKB
Labasa Airport,FJ,Labasa,NFNL,LBS
Matei Airport,FJ,Matei,NFNM,TVU
Koro Island Airport,FJ,Koro Island,NFNO,KXF
Rotuma Airport,FJ,Rotuma,NFNR,RTA
Savusavu Airport,FJ,Savusavu,NFNS,SVU
Yasawa Island Airport,FJ,Yasawa Island,NFSW,YAS
Vanua Balavu Airport,FJ,Vanua Balavu,NFVB,VBV
Mount Pleasant Airport,FK,Mount Pleasant,EGYP,MPN
Port Stanley Airport,FK,Stanley,SFAL,PSY
Chuuk International Airport,FM,Weno Island,PTKK,TKK
Pohnpei International Airport,FM,Pohnpei Island,PTPN,PNI
Kosrae International Airport,FM,Okat,PTSA,KSA
Yap International Airport,FM,Yap Island,PTYA,YAP
Vágar Airport,FO,Vágar,EKVG,FAE
Bordeaux–Mérignac Airport,FR,Bordeaux,LFBD,BOD
Bergerac Dordogne-Périgord airport,FR,Bergerac,LFBE,EGC
La Rochelle Île de Ré Airport,FR,La Rochelle,LFBH,LRH
Poitiers-Biard Airport,FR,Poitiers/Biard,LFBI,PIS
Limoges Airport,FR,Limoges/Bellegarde,LFBL,LIG
Toulouse-Blagnac Airport,FR,Toulouse/Blagnac,LFBO,TLS
Pau Pyrénées Airport,FR,Pau/Pyrénées (Uzein),LFBP,PUF
Tarbes-Lourdes-Pyrénées Airport,FR,Tarbes/Lourdes/Pyrénées,LFBT,LDE
Biarritz Pays Basque airport,FR,Biarritz,LFBZ,BIQ
Castres Mazamet Airport,FR,Castres,LFCK,DCM
Rodez–Aveyron Airport,FR,Rodez/Marcillac,LFCR,RDZ
Île d'Yeu Airport,FR,Île d'Yeu,LFEY,IDY
Dole Tavaux Airport,FR,Dole,LFGJ,DLE
Le Puy-Loudes Airfield,FR,"Chaspuzac, Haute-Loire",LFHP,LPY
Metz-Nancy-Lorraine Airport,FR,Goin,LFJL,ETZ
Bastia Poretta airport,FR,Bastia,LFKB,BIA
Calvi Sainte Catherine Airport,FR,Calvi,LFKC,CLY
Figari Sud-Corse Airport,FR,Figari,LFKF,FSC
Ajaccio Napoléon Bonaparte airport,FR,Ajaccio,LFKJ,AJA
Chambéry Aix les Bains airport,FR,Chambéry,LFLB,CMF
Clermont-Ferrand Auvergne airport,FR,Clermont-Ferrand,LFLC,CFE
Lyon Saint-Exupéry Airport,FR,"Colombier-Saugnieu, Rhône",LFLL,LYS
Annecy Meythet airport,FR,Annecy,LFLP,NCY
Grenoble Alpes Isère Airport,FR,Grenoble,LFLS,GNB
Aurillac airport,FR,Aurillac,LFLW,AUR
Carcassonne Salvaza Airport,FR,Carcassonne,LFMK,CCF
Marseille Provence Airport,FR,"Marignane, Bouches-du-Rhône",LFML,MRS
Nice-Côte d'Azur Airport,FR,"Nice, Alpes-Maritimes",LFMN,NCE
Perpignan-Rivesaltes (Llabanère) Airport,FR,Perpignan/Rivesaltes,LFMP,PGF
Montpellier-Méditerranée Airport,FR,Montpellier/Méditerranée,LFMT,MPL
Béziers Vias airport,FR,Béziers,LFMU,BZR
Avignon Caumont airport,FR,Avignon,LFMV,AVN
Beauvais Tillé airport,FR,Beauvais,LFOB,BVA
Chalons Vatry airport,FR,Chalons en Champagne,LFOK,XCR
Tours Val de Loire Airport,FR,"Tours, Indre-et-Loire",LFOT,TUF
Charles de Gaulle International Airport,FR,"Paris (Roissy-en-France, Val-d'Oise)",LFPG,CDG
Paris-Orly Airport,FR,"Paris (Orly, Val-de-Marne)",LFPO,ORY
Lille Airport,FR,Lesquin,LFQQ,LIL
Brest Bretagne airport,FR,Brest,LFRB,BES
Dinard Pleurtuit Saint-Malo airport,FR,Dinard,LFRD,DNR
Deauville Normandie airport,FR,Deauville,LFRG,DOL
Lorient South Brittany (Bretagne Sud) Airport,FR,Lorient/Lann/Bihoué,LFRH,LRT
Caen Carpiquet airport,FR,Caen,LFRK,CFR
Le Mans-Arnage Airport,FR,"Le Mans, Sarthe",LFRM,LME
Rennes-Saint-Jacques Airport,FR,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",LFRN,RNS
Nantes Atlantique Airport,FR,Nantes,LFRS,NTE
Saint-Nazaire-Montoir Airport,FR,Saint-Nazaire/Montoir,LFRZ,SNR
EuroAirport Basel–Mulhouse–Freiburg,FR,Bâle / Mulhouse,LFSB,BSL
Dijon Longvic airport,FR,Dijon,LFSD,DIJ
Brive Souillac airport,FR,Brive,LFSL,BVE
Strasbourg Airport,FR,Strasbourg,LFST,SXB
Toulon-Hyères Airport,FR,"Hyères, Var",LFTH,TLN
Nîmes-Arles-Camargue Airport,FR,Nîmes/Garons,LFTW,FNI
La Môle Airport,FR,Saint-Tropez,LFTZ,LTT
Oyem Airport,GA,Oyem,FOGO,OYE
Port Gentil Airport,GA,Port Gentil,FOOG,POG
Makokou Airport,GA,Makokou,FOOK,MKU
Libreville Leon M'ba International Airport,GA,Libreville,FOOL,LBV
M'Vengue El Hadj Omar Bongo Ondimba International Airport,GA,Franceville,FOON,MVB
Gamba Airport,GA,Gamba,FOGX,GAX
Belfast International Airport,GB,Belfast,EGAA,BFS
George Best Belfast City Airport,GB,Belfast,EGAC,BHD
City of Derry Airport,GB,Derry,EGAE,LDY
Birmingham Airport,GB,"Birmingham, West Midlands",EGBB,BHX
Manchester Airport,GB,"Manchester, Greater Manchester",EGCC,MAN
Campbeltown Airport,GB,Campbeltown,EGEC,CAL
Eday Airport,GB,Eday,EGED,EOI
Fair Isle Airport,GB,Fair Isle,EGEF,FIE
North Ronaldsay Airport,GB,North Ronaldsay,EGEN,NRL
Oban Airport,GB,North Connel,EGEO,OBN
Papa Westray Airport,GB,Papa Westray,EGEP,PPW
Stronsay Airport,GB,Stronsay,EGER,SOY
Sanday Airport,GB,Sanday,EGES,NDY
Lerwick / Tingwall Airport,GB,"Lerwick, Shetland Islands",EGET,LWK
Westray Airport,GB,Westray,EGEW,WRY
Cardiff International Airport,GB,Cardiff,EGFF,CWL
Bristol Airport,GB,Bristol,EGGD,BRS
